experiment,property,metric,value
Exp-1_no_stress_rock_physics,AI,corr_with_stress,0.5540922405559261
Exp-1_no_stress_rock_physics,AI,corr_with_SH1,-0.05745379454878382
Exp-1_no_stress_rock_physics,AI,corr_with_SH2,-0.041443898051643654
Exp-1_no_stress_rock_physics,AI,corr_with_stress_MPa,0.5540922405559261
Exp-1_no_stress_rock_physics,AI,corr_with_mean_stress_proxy,-0.051320510094722896
Exp-1_no_stress_rock_physics,AI,corr_with_differential_stress,-0.027993758554040946
Exp-1_no_stress_rock_physics,AI,corr_with_stress_ratio,-0.014047774523548898
Exp-1_no_stress_rock_physics,AI,corr_with_stress_anisotropy_index,-0.013731856035028363
Exp-1_no_stress_rock_physics,AI,corr_with_pore_pressure_MPa,-0.2485895148923689
Exp-1_no_stress_rock_physics,AI,corr_with_vertical_stress_Sv_MPa,-0.24858952595667516
Exp-1_no_stress_rock_physics,AI,corr_with_effective_pressure_physical_MPa,-0.24858953526999775
Exp-1_no_stress_rock_physics,AI,corr_with_overpressure_ratio,-0.06824548810777926
Exp-1_no_stress_rock_physics,AI,corr_with_effective_pressure_ratio,0.034156375746079534
Exp-1_no_stress_rock_physics,VpVs,corr_with_porosity,-0.5696597703090616
Exp-1_no_stress_rock_physics,VpVs,corr_with_oil_saturation,-0.2726414688385751
Exp-1_no_stress_rock_physics,VpVs,corr_with_brittleness_index,-0.08363513430334017
Exp-1_no_stress_rock_physics,VpVs,corr_with_permeability,-0.22037891740585738
Exp-1_no_stress_rock_physics,VpVs,corr_with_gamma,0.5663746296345614
Exp-1_no_stress_rock_physics,VpVs,corr_with_stress,0.6085216671212568
Exp-1_no_stress_rock_physics,VpVs,corr_with_SH1,-0.14256967384946045
Exp-1_no_stress_rock_physics,VpVs,corr_with_SH2,-0.1986950873052543
Exp-1_no_stress_rock_physics,VpVs,corr_with_stress_MPa,0.6085216671212568
Exp-1_no_stress_rock_physics,VpVs,corr_with_mean_stress_proxy,-0.17754524914396289
Exp-1_no_stress_rock_physics,VpVs,corr_with_differential_stress,0.10806392450533371
Exp-1_no_stress_rock_physics,VpVs,corr_with_stress_ratio,0.15367364100753625
Exp-1_no_stress_rock_physics,VpVs,corr_with_stress_anisotropy_index,0.15314081379247912
Exp-1_no_stress_rock_physics,VpVs,corr_with_pore_pressure_MPa,-0.43683405987207596
Exp-1_no_stress_rock_physics,VpVs,corr_with_vertical_stress_Sv_MPa,-0.4368340644325306
Exp-1_no_stress_rock_physics,VpVs,corr_with_effective_pressure_physical_MPa,-0.43683407072843566
Exp-1_no_stress_rock_physics,VpVs,corr_with_overpressure_ratio,-0.06429250855440084
Exp-1_no_stress_rock_physics,VpVs,corr_with_effective_pressure_ratio,0.04083879983929643
Exp-1_no_stress_rock_physics,runtime,seconds,1.7209720388054848
